src_ip,dst_ip,src_mac,dst_mac,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.0.3,10.0.0.2,00:00:00:00:00:03,12:9a:cf:dc:c7:89,0,0,1,2025-10-20 22:57:11,6335669.040679932,822.3283076416619,2.051874855919694,0.47350958213531397,1.5783652737843799,3,10,294,4916,98.0,98.0,98.0,0.0,590.0,98.0,455.8181818181818,219.11799153624065,590,98,379.14285714285717,243.4768563782536,59280.97959183673,0,88,8,3,527972.420056661,2677937.9844665527,13.113021850585938,791285.3729500129,6335669.040679932,3657716.0358428955,2677953.004837036,3167834.520339966,489881.5155029297,3657717.9431915283,1411620.855331421,988.9602661132812,406413.1047990587,494502.56313394214,0,0,0,0,0,0,0,0,0,0,0,3.6666666666666665,379.14285714285717,0,0,1411590.814590454,988.9602661132812,387252.5095939636,593809.7695169672,2677922.9640960693,13451.337814331055,704161.6837183634,921743.6525667658,0.0,0.0,3956.0,8.0,0.0,3825.2381396331034,98.0,455.8181818181818,0,3,10,294,4916
10.0.0.3,10.0.0.2,00:00:00:00:00:03,12:9a:cf:dc:c7:89,0,0,1,2025-10-20 22:57:11,6335686.206817627,837.7940173691419,2.2097053962260715,0.473508299191301,1.7361970970347704,3,11,294,5014,98.0,98.0,98.0,0.0,590.0,98.0,455.8181818181818,219.11799153624065,590,98,379.14285714285717,243.4768563782536,59280.97959183673,0,88,8,3,487360.47744750977,2677937.9844665527,13.113021850585938,773149.6998543823,6335669.040679932,3657716.0358428955,2677953.004837036,3167834.520339966,489881.5155029297,6335673.093795776,2677955.150604248,988.9602661132812,633567.3093795776,827327.5049089743,0,0,0,0,0,0,0,0,0,0,0,3.6666666666666665,379.14285714285717,0,0,1411590.814590454,988.9602661132812,387252.5095939636,593809.7695169672,2677922.9640960693,13451.337814331055,704161.6837183634,921743.6525667658,0.0,0.0,3956.0,8.0,0.0,3825.2381396331034,98.0,455.8181818181818,0,3,11,294,5014
10.0.0.1,10.0.0.2,00:00:00:00:00:01,12:9a:cf:dc:c7:89,0,0,1,2025-10-20 22:57:10,9243290.901184082,584.8566336160081,1.6227986504328749,0.43274630678209997,1.1900523436507748,4,11,392,5014,98.0,98.0,98.0,0.0,590.0,98.0,426.0,231.93102422918759,590,98,344.0,246.0,60516.0,0,96,8,4,660235.0643702915,4555253.982543945,10.013580322265625,1273744.0986890553,9243290.901184082,4555270.9102630615,1000506.8778991699,3081096.967061361,1513250.8578131122,4688026.905059814,2597921.848297119,905.9906005859375,468802.69050598145,766073.343572506,0,0,0,0,0,0,0,0,0,0,0,3.0,344.0,0,0,2597887.9928588867,905.9906005859375,755832.2548866272,1069262.0204432632,4555237.054824829,34007.07244873047,1262795.1701482136,1565039.287995388,0.0,0.0,3400.0,7.0,0.0,4927.300871257353,98.0,426.0,0,4,11,392,5014
10.0.0.1,10.0.0.2,00:00:00:00:00:01,12:9a:cf:dc:c7:89,0,0,1,2025-10-20 22:57:10,9243311.882019043,595.4575665359617,1.7309812980696562,0.43274532451741404,1.2982359735522422,4,12,392,5112,98.0,98.0,98.0,0.0,590.0,98.0,426.0,231.93102422918759,590,98,344.0,246.0,60516.0,0,96,8,4,616220.7921346029,4555253.982543945,10.013580322265625,1241524.874201736,9243290.901184082,4555270.9102630615,1000506.8778991699,3081096.967061361,1513250.8578131122,9243301.86843872,4555274.963378906,905.9906005859375,840300.1698580656,1383336.7159112163,0,0,0,0,0,0,0,0,0,0,0,3.0,344.0,0,0,2597887.9928588867,905.9906005859375,755832.2548866272,1069262.0204432632,4555237.054824829,34007.07244873047,1262795.1701482136,1565039.287995388,0.0,0.0,3400.0,7.0,0.0,4927.300871257353,98.0,426.0,0,4,12,392,5112
10.0.0.1,10.0.0.2,00:00:00:00:00:01,12:9a:cf:dc:c7:89,57874,80,6,2025-10-20 22:57:10,4932.880401611328,209411.11802803286,2027.2131464475592,1216.3278878685355,810.8852585790237,6,4,489,544,151.0,66.0,81.5,31.218317272609895,338.0,66.0,136.0,116.67047612828192,338,66,103.3,82.11217936457416,6742.409999999999,0,80,20,1,505.367914835612,3733.1581115722656,-131.84547424316406,1176.78118775169,4801.034927368164,3854.036331176758,-120.87821960449219,960.2069854736328,1498.9484836953711,4925.966262817383,3875.9708404541016,91.07589721679688,1641.988754272461,1618.908091208371,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,103.3,42340,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.5,136.0,0,6,4,489,544
10.0.0.1,10.0.0.2,00:00:00:00:00:01,12:9a:cf:dc:c7:89,57884,80,6,2025-10-20 22:57:10,4220.008850097656,39890200.703276835,6161.124519774011,2369.6632768361583,3791.461242937853,10,16,753,167584,151.0,66.0,75.3,25.345808331951066,26130.0,66.0,10474.0,7404.277142300928,26130,66,6474.5,7702.679739744924,59331275.17307692,0,320,20,1,168.80035400390625,1482.9635620117188,0.95367431640625,433.70768220580993,4214.048385620117,1569.0326690673828,1.9073486328125,468.22759840223523,641.5992211274296,4195.928573608398,1489.877700805664,0.95367431640625,279.72857157389325,537.8300010061371,0,0,0,0,1,0,0,0,0,0,0,1.6,6474.5,42340,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166520.0,14.0,0.0,62837202.166441746,75.3,10474.0,0,10,16,753,167584
10.0.0.1,10.0.0.2,00:00:00:00:00:01,12:9a:cf:dc:c7:89,57888,80,6,2025-10-20 22:57:11,4451.03645324707,39801291.64540147,6290.669666291714,2471.334511757459,3819.335154534255,11,17,819,176338,151.0,66.0,74.45454545454545,24.31372091625197,26130.0,66.0,10372.823529411764,7194.595587991063,26130,66,6327.035714285715,7531.527228363556,56723902.39158163,0,340,20,1,164.8532019721137,1572.8473663330078,0.0,438.943923013006,4450.082778930664,1574.0394592285156,3.0994415283203125,445.0082778930664,647.1304913413824,4428.863525390625,1578.8078308105469,0.0,276.80397033691406,548.2005314810074,0,0,0,0,1,0,0,0,0,0,0,1.5454545454545454,6327.035714285715,42340,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175208.0,15.0,0.0,58402258.22395295,74.45454545454545,10372.823529411764,0,11,17,819,176338
10.0.0.7,10.0.0.2,00:00:00:00:00:07,12:9a:cf:dc:c7:89,0,0,1,2025-10-20 22:57:15,6035346.031188965,863.2479352594186,2.153977573583962,0.497071747750145,1.6569058258338167,3,10,294,4916,98.0,98.0,98.0,0.0,590.0,98.0,455.8181818181818,219.11799153624065,590,98,379.14285714285717,243.4768563782536,59280.97959183673,0,88,8,3,502945.5025990804,2265753.0307769775,23.84185791015625,725380.8086697378,6035346.031188965,3769568.920135498,2265777.111053467,3017673.0155944824,751895.9045410156,3769569.158554077,1700839.0426635742,7436.990737915039,418841.0176171197,541312.4879864538,0,0,0,0,0,0,0,0,0,0,0,3.6666666666666665,379.14285714285717,0,0,1700790.8821105957,23.84185791015625,596532.2653452555,781669.079761528,2265728.9505004883,7413.148880004883,675883.6905161539,753362.159636801,0.0,0.0,3956.0,8.0,0.0,3896.861011982977,98.0,455.8181818181818,0,3,10,294,4916
10.0.0.7,10.0.0.2,00:00:00:00:00:07,12:9a:cf:dc:c7:89,0,0,1,2025-10-20 22:57:15,6035364.866256714,879.4828676683065,2.3196609169849833,0.49707019649678214,1.8225907204882013,3,11,294,5014,98.0,98.0,98.0,0.0,590.0,98.0,455.8181818181818,219.11799153624065,590,98,379.14285714285717,243.4768563782536,59280.97959183673,0,88,8,3,464258.8358659011,2265753.0307769775,18.835067749023438,709691.5086892175,6035346.031188965,3769568.920135498,2265777.111053467,3017673.0155944824,751895.9045410156,6035341.024398804,2265771.8658447266,7436.990737915039,603534.1024398804,755460.8586268406,0,0,0,0,0,0,0,0,0,0,0,3.6666666666666665,379.14285714285717,0,0,1700790.8821105957,23.84185791015625,596532.2653452555,781669.079761528,2265728.9505004883,7413.148880004883,675883.6905161539,753362.159636801,0.0,0.0,3956.0,8.0,0.0,3896.861011982977,98.0,455.8181818181818,0,3,11,294,5014
10.0.0.3,10.0.0.2,00:00:00:00:00:03,12:9a:cf:dc:c7:89,41566,80,6,2025-10-20 22:57:11,15923.023223876953,64560.60419848471,628.021441619501,376.81286497170066,251.20857664780044,6,4,492,536,154.0,66.0,82.0,32.331615074619044,330.0,66.0,134.0,113.20777358467925,330,66,102.8,80.01599840031992,6402.5599999999995,0,80,20,1,1769.2248026529949,7603.883743286133,10.013580322265625,2988.753314424483,15923.023223876953,7603.883743286133,28.133392333984375,3184.6046447753906,3418.6033322120115,15889.167785644531,14666.080474853516,102.04315185546875,5296.389261881511,6638.419783499742,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,102.8,42340,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,134.0,0,6,4,492,536
